dimension,lambda_start_frac,lambda_block_cca,metric,n,mean,ci95_low,ci95_high,ci95_half_width
128,0.1,10.0,embedding_val_zeta,5,0.4672007832,0.450374443,0.4840271234,0.01682634021
128,0.1,10.0,mean_val_zeta,5,0.3245419502,0.293858758,0.3552251424,0.03068319218
128,0.1,10.0,embedding_whole_val_regularization_raw,5,0.013998,0.009960215492,0.01803578451,0.004037784508
128,0.1,10.0,checkpoint_regularization_lambda,5,7.451008,6.027590717,8.874425283,1.423417283
128,0.1,10.0,frozen_decoder_rmse_x,5,73.69447632,72.86769217,74.52126047,0.8267841525
128,0.1,10.0,frozen_decoder_rmse_y,5,78.89742737,77.6507486,80.14410613,1.246678764
128,0.1,10.0,frozen_decoder_rmse_mean,5,76.34406433,75.8674253,76.82070337,0.4766390347
128,0.1,10.0,frozen_decoder_r2_x,5,0.914819777,0.9117024762,0.9179370778,0.003117300781
128,0.1,10.0,frozen_decoder_r2_y,5,0.8826262236,0.8798169298,0.8854355173,0.002809293726
128,0.1,10.0,frozen_decoder_r2_mean,5,0.8987229943,0.8967522027,0.900693786,0.00197079167
128,0.1,10.0,finetuned_decoder_rmse_x,5,68.5473465,67.17782668,69.91686632,1.369519819
128,0.1,10.0,finetuned_decoder_rmse_y,5,73.06969452,72.29224216,73.84714688,0.7774523627
128,0.1,10.0,finetuned_decoder_rmse_mean,5,70.84730682,70.00908615,71.6855275,0.8382206716
128,0.1,10.0,finetuned_decoder_r2_x,5,0.9262846112,0.9223621657,0.9302070568,0.003922445536
128,0.1,10.0,finetuned_decoder_r2_y,5,0.89933182,0.8986242717,0.9000393684,0.0007075483578
128,0.1,10.0,finetuned_decoder_r2_mean,5,0.9128082156,0.9108813989,0.9147350323,0.00192681667
256,0.1,10.0,embedding_val_zeta,5,0.450374149,0.4280702248,0.4726780731,0.02230392419
256,0.1,10.0,mean_val_zeta,5,0.2947935939,0.2761871074,0.3134000804,0.01860648654
256,0.1,10.0,embedding_whole_val_regularization_raw,5,0.016205,0.01292372228,0.01948627772,0.003281277721
256,0.1,10.0,checkpoint_regularization_lambda,5,8.731542,6.940161203,10.5229228,1.791380797
256,0.1,10.0,frozen_decoder_rmse_x,5,74.62383728,69.84508875,79.40258581,4.778748526
256,0.1,10.0,frozen_decoder_rmse_y,5,79.61886292,76.63762159,82.60010424,2.981241322
256,0.1,10.0,frozen_decoder_rmse_mean,5,77.17085876,73.51178328,80.82993425,3.659075483
256,0.1,10.0,frozen_decoder_r2_x,5,0.9126204371,0.9033340566,0.9219068177,0.009286380511
